,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text
0,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",알로하이,3.17.일,지나가다가 피칸파이 사먹었어요~^-^ 파이가 정말 맛 있네요~~ 직원분이 알레르기있냐고도 친절히 물어봐 주시고요♡ 맛도 맛납니닷! 일반파이시트와 좀...
1,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",슬기로운맛집생활,3.21.목,"경복궁역과 광화문역 근처에 있는 빵집, 파네트 광화 문점을 방문했습니다. 경복궁역에서 더 가까운 느낌 이더라구요? 점심 시간에 방문했는데 이미 품..."
2,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",우연히들어간식당이만족스러울때의짜릿함,2.4.일,사실 기대 안하고 왔는데 빵 종류도 많고 가격도 터뮤 니없지 않아서 좋았어요! 어떤 빵이든 재료가 듬뿍듬 뿍 들어가잇고 맛있어요.. 3만원어치 시켜먹고 ...
3,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",나주배즙,2.4.일,"운좋게 찾아서 들어간 곳이 빵맛집이었네요~ 색다른 빵들이 많아서 보는 즐거움이 가득했어요 애플파이, 고구마모찌, 바질토마토바게트를 매장에서 먹..."
4,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",Mini15,3.15.금,"최애 빵집입니다. 언제와도 정말 맛있네요.
평일 품절도 빠릅니다. 정말 맛있어요!"
5,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",악어밥주는사람,1.25.목,"여기 빵은 정말로 다 맛있어요. 텃밭깜빠뉴가 제 인생 빵인데요. 텃밭빵 사러갔다가 다른 아이들도 이것 저 것 사와봤는데 밤파이도 너무 맛있구, 버터프..."
6,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",juehhhhh,2.26.월,"서울이서 제일 사랑하는 빵집인 파네트 광화문점..❤️
오랜만에 가서 또 털어왔습니당 ^_^
매번 새로워 짜릿해 맛있어..."
7,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",iilliilll,3.27.수,유명한 깜빠뉴가 궁금했는데 너무 일찍갔는지 아니면 벌써 다 팔린건지 ㅠ 못사서 아쉬웠지만 다른 빵들도 다 맛있어요!! 근처에 아파트도 있고 회사들이 ...
8,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",juehhhhh,2.8.목,"서울에서 가장 애정하는 최애 빵집 오랜만에 가서 털
어왔습니다❤️ 역시 맛있어.. 혈관 짜릿해지는 짱맛
도리 맛..🫶🏻 파네트 없이 못살아,,"
9,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",소담7686,2.12.월,사직동빵집 파네트 빵인데 깜파뉴 빵 종류도 다양하 고 커피와 어울릴빵도 많아 아침식사로 먹기 적당한 빵 가져왔는데 오렌지쉬폰은 부드러웠고 대파...
