,Number,Store,Adddress,Review_score,Review_counts,ID,Date,Review_text
0,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,시리얼,2024.03.30.,"예전에 스콘 먹고 감동했던 기억이 있어 다시 방문했는데 조금 실망입니다. 너무 달아졌어요. 스콘까지 달 필요는 없는데.. 예전에 스콘 먹었을 때는 겉은 바삭, 속은 쫀쫀 촉촉한 맛이 정말 좋았는데 이번에 사온 스콘은 너무 달아요. 스콘 자체가 크림, 잼을 발라먹는 빵일텐데 그 자체가 디저트만큼 달아서 조금 거부감이 드네요.. 사이즈가 큰 빵인데 달기까지해서 중간부터 물려요. 제발 다시 원래대로 돌아가주세요.. 진짜 너무 달아요"
1,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,쩝문가,2024.03.23.,"명성에 비해 스콘이나 타 디저트 애매합니다. 
유명하지 않았던 평타라 생각하지만
기대 이하라고 생각드네요."
2,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,박현아,2024.03.01.,정보 없음
3,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,별점조작은말없이1점,2024.02.25.,"갠적으로 스콘은 질기고 걍평범하고 맛없고 아아 싫어서 차시켰는데 차도 너무 걍 싸구려노맛 티백....
여기는 브라우니 8조각내서 얼려둬서 락앤락서 꺼내먹거나 화이트쿠키 박살내서 냉동 or 피칸파이는 사서 차나 커피랑 먹으면 맛남ㅋㅋㅋ 빅토리아케이크는 개달음...
직원들 친절하고 좋아요. 근데 손님들이 ㅈㄴ게 시끄러운게 단점ㅋㅋㅋㅋ 시장통임 노캔해도 모자람"
4,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,고영,2024.02.20.,다 맛있다
5,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,HY,2024.02.18.,"무난~맛없의 중간. 스콘이 퍼석하다. 멀쩡했다면 맛있었을거란 생각은 들음.
비 피하러 들어왔다가 약간의 실망을..."
6,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,마제소바굳,2024.02.15.,맛있고 분위기도 좋고 청결합니다
7,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,크리스토퍼,2024.02.13.,"영수증 첨부 하구요
네이버 리뷰는 전부 다 맛있다는 글 밖엔 
없어서 제 입이 잘못 된건지 뭔지
스콘 이렇게 맛 없기도 힘들거 같은데
스콘에서 싸구려 음료 맛이 나는데
너무 돈 아까웠네요
당근 케이크도 같은 맛이 나는"
8,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,.,2024.02.06.,스콘이 맛있긴 하나 음료 주문 안하먼 빵을 아무리 많이 사도 먹고 갈 수 없다는 이상한 법칙이 새로 생김
9,1,스코프 서촌점,서울 종로구 필운대로5가길 31 (누하동),3.9,224.0,승야아찌,2024.01.24.,빵 종류 다 맛있음. 테이블이 몇개만 더 있었으면...
