Platform,Number,Store,Address,Addr,Review_score,Review_counts,ID,Date,Review_text,Time
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"빵 맛이 너무 좋아요!
커피는 조금 아쉬워요 😅",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"예전에 국민은행 자리였던
건물에 빵집이 엄청크게 들어왔네요.
저녁에 가서 그런지 생각보단 빵 종류가 그리 많지는 않더라구요.

내부 테이블과 공간은 넓어서 답답하진 않아요.

밀가루,원재료비 상승인지는 알겠지만 먹고 싶은데로 계산 없이 담았다간 6~7만원 훅 나오니 생각하며 담아오기해야 겠어요.
음~~  빵맛은 그닥 맛있단 생각은 안드는 평범한맛입니다.",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,좋아요,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,빵도맛있고 자리도넓어요,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"장점 :쾌적하고 조용하고 빵구입후 셀프로 먹고자르고 도구 비닐등 준비가 잘되어있어요 빵맛도. 와! 정도는 아니지만 꽤 치는 빵맛이에요 나쁘지않아요.

단점:빵 컷팅칼이 사진처럼 흉기가될수있다는점 손님들이자유로히 쓸수있는점은 단점이에요
가격이 싸지않아요. 그런데 맛있는 저런빵들을 구입후 전자레인지로 돌려먹는건 맛어필을 덜하지 않을까요?
빵들을 베이크해주는 미니오븐기나 서비스를 해주면 좋을거같아요
커피맛은 이디야 보다 비싼데 맛은 편의점 아아 수준이라
조금실망스러워요.",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,좋아요 빵맛있어요,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"다양한 유기농빵이 있고 음료 가격도 가성비가 있는곳.
장소는 넓고 좋으나 분위기는 아주 쾌적하다고는 볼 수가 없다. 주차장 제공이 되지 않는 아쉬움이 있다.",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"여기 마늘 바게트 맛집 같아요
주차 불가능
촉촉한 마늘빵 포장해 와서 먹어보고
2개 안 산걸 후회했어요 ㅜㅜ
청량리 갈 일 있음 꼭 들려야겠어요",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"빵은 맛있는데 점장인지  매니저인지 너무 딱딱함, 기분이 상할정도로.",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,넓고 쾌적. 곰보빵 3500원인가 좀 비싼데 맛있음,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"빵이많이비싸네요^^;;
테이블은 좌식도있고 좋은거같아요~
빵이 엄청많더라구요~
직접만들어서 판매하시던데 빵이계속쌓여가는...ㅎㅎ
친절하셨어요~",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"방문시간 9시반쯔음
마감으로 10프로 할인 들어가네요
맛있어보이는데 가격도 저렴한편인거같아요",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,여러종류의 빵과 넓은 공간을 갖춘 빵집 카페네요. 달콤제빵소 답게 빵들이 거의 달콤한 빵들이 많았어요.,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,너무 달지 않고 생각보다 맛있어요.,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,생크림 크로와상 말차스콘 다 맛있는데 살구파이는 제 취항 아니네요 가성비 좋아요,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,커피 맛이 스타벅스만큼 맛있다는 생각이 들지는 않습니다. 다만 빵은 어느 카페보다 맛있어요,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"인공적이지 않은 맛,
카운터 우측 뒷편에 매장 숨겨진 좌석공간이 넓게 더 있고 평상처럼 된 좌석도 있어서 편히 얘기하기 좋음",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,시간 때우기 좋음 케이크는 좀 아쉬움,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,청량리의 맛집 꼭 한번 방문해 보세요.,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,초코크로와상 맛있어요,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"빵과 음료 커피 같이먹을수있고. 일단 장소가 넓어서 좋아요 빵도 종류가다양해서 골라먹기
좋아요",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,칠락집에서 지인분들과 식사후 꼭들여 차와 사과파이를,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,빵 종류가 많아요,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,빵 자체는 괜찮습니다(부드럽고 땀이 나요). 장소는 깨끗하고 좋습니다. 문제는 접시가 없다는 점인데 여기서 식사하려면 트레이에서 바로 먹어야 하는데 좀 이상하네요 🙄…,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,"청량리역 근처 편안히 들르기 좋은 빵 맛집이다.
빵 재료가 좋고 많이 신경써서 개발된 빵들이구나 느껴진다. 커피와 차도 맛있다. 얼그레이딸기홍차는 별도로 개발하신 것 같다. 베티나르디 얼그레이 티백이 들어갔는데 딸기맛을 내는 부유물이 있는 걸로 보아 블렌딩한 메뉴구나 싶었다. 그러나 요거트는 많이 얼려져 얼음맛이 좀 과했다.
나오는 길에 케잌냉장고를 봤는데 역시나 무화과를 비롯한 여러 과일이 다채롭게 올려있고 정성스럽게 데코레이션 된 것을 보니 케익도 맛있을 것 같다.
다양한 빵과 차가 많이 있고, 좌석도 많은데 편안하고 널찍한 공감들도 있으니 머무르기에 참 좋다.
내부화장실이 있어서 깨끗하고,, 다만 매장 안에 모기가 좀 있다.",2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,빵도 맛있고 실내공간이 되게 넓고 쾌적해서 좋았습니다! 빵사먹으면서 종일데이트 하기좋은!,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,가끔 가면서 느끼는데 덮개 좀 씌웠으면 좋겠어요.맛은 괜찮은데 마스크 안 쓰고 들어오는 손님중에 빵 앞에서 말하시는 분이 좀 있으신데 그 과정에서 침이나 이물질 들어가는게 아닐까 걱정됩니다...가격도 싼 편이 아닌데 위생에 좀 더 신경쓰는게 좋을거 같아요.,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,포실포실 부드러운 케잌과 건강한 호밀빵등 다양한 종류의 빵이 있는 청량리역 인근 넓~은 빵카페.  가걱대가 쫌 있긴하지만 맛있긴함,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,죤맛탱 근데 가격이 비쌈,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,ㆍ,2024-04-06 - 15:07:43
Google,1,달콤제빵소,서울특별시 동대문구 청량리동 홍릉로 19,서울 동대문구,4.1,(50),정보없음,정보없음,다양한 종류의 제과 빵 케익이 있는집,2024-04-06 - 15:07:43
Google,2,추억의 생크림빵,서울특별시 동대문구 전농동 전농로20길 4,서울 동대문구,3.5,(15),정보없음,정보없음,예전 전농동 어린왕자분식집생크림아이스크림빵 추억의맛 ㅋㅋ맛나여,2024-04-06 - 15:09:12
Google,2,추억의 생크림빵,서울특별시 동대문구 전농동 전농로20길 4,서울 동대문구,3.5,(15),정보없음,정보없음,"그냥 생크림빵인줄 알고 먹었는데 왠걸 되게 맛있었습니다!
내려가는길은 가파르고 길어서 주의문구도 표시되있더군요.
가게는 문닫은 가게처럼 텅텅 비어있는데 영업은 합니다.
빵맛은 빵을 구워서주는지 따닷 바삭하고 크림은 달콤 시원합니다.
연세우유빵 먹느니 이거 먹습니다.",2024-04-06 - 15:09:12
