,Unnamed: 0,Platform,Number,Store,Address,Addr,Review_score,Review_counts,ID,Date,Review_text,Time
0,0,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,SUNG,2024.03.28.,"원할한 주문과 질서를 유지하기 위해 줄을 세우는거 아닌가요? 빵의 재고를 확인하려고 해도 그러지 못하게 통제하는 상황은 이해하기 어려웠습니다. 그래서 메뉴를 모르고 주문하기가 매우 어려웠습니다. 
결제는했지만, 서비스 수준은 마치 수용소에서 구걸하는 것 같았습니다.
맛있는 빵이지만 이러한 직원의 태도를 겪게하면서까지 주변에 추천하기는 힘들 것 같습니다.",2024-04-07 - 00:37:28
1,1,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,❤️,2024.03.26.,"사람이 엄청 많아서.... 기다리는데 약간 힘들기는 했지만 빵은 맛있었어요
근데 직원들이 좀 불친절 한듯해요;;
한 반년 전에 갔었는데 지금도 그런지는 모르겠어요",2024-04-07 - 00:37:41
2,2,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,감자,2024.03.25.,"재방문 의사 없습니다
웨이팅 기계도 없이 손님들 줄 세워놓는거에서 일단 고객에 대한 배려가 전혀 없음이 느껴지구요.
특히 결제하고 빵 받는 시스템. 도저히 이해가 안가더라구요. 한명이 계산하고 그사람이 빵 담아주는데 그러니 시간이 그렇게 오래걸리죠. 직원은 세네명이나 나와있는데, 일하는 사람은 한명..
사람을 더 쓰던지 시스템을 개선하던지요.",2024-04-07 - 00:37:54
3,3,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,맛집좋아함,2024.03.21.,"난 맛있는데 여기도 호불호 세게 갈리는듯
맘모스 맛있음 ㅎㅎ
웨이팅해서 사갈 정도인가? 싶으면 갸웃 하지만
이정도도 못하는 빵집 많기 때문에..
근처 살면 웨이팅 없을 때나 함 들러보시고
멀리서 오셨음.. 어케 기다려야지",2024-04-07 - 00:38:06
4,4,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,kaamos,2024.03.13.,정보없음,2024-04-07 - 00:38:25
5,5,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,맛없는거 먹으면 화냄,2024.03.09.,맛있긴 한데 기다려서 먹을정도는 아님,2024-04-07 - 00:38:38
6,6,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,양,2024.03.03.,"첫방문 때 저녁 8시쯤 가서 대파빵만 사왔었는데 그냥.. 대파뿌린 치즈마요? 랜치소스 정도 맛이라 너무 실망했는데 일찍 재방문해서 유명한 애들 사왔더니씁 하... 개맛있다 진자...ㅠ
돈이 하나도 안 아까움

크림 한가득 쫀득 묵직 꾸덕한 식감 좋아하는데
크림빵에 크림 한가득이어서 빵피가 간신히 버티고 있음 맘모스도 진짜 개미침... 완전 꾸덕묵직하고 달달해요

피스타치오 크림빵이랑 치즈좋아해? 검은색 빵에 황치즈 들어간 크림빵이 진짜 맛도립니다
피스타치오는 배라맛인데 안에 견과류 오독오독 씹히고 너무 맛있어요... 황치즈는 원래 좋아해서 진짜 개맛있었습니다 하 재방문하면 당장 두 개는 사와야 됨 단짠반반인 황치즈고 크림치즈 같이 들어가있어요!

맘모스가 진짜.. 에바임 진자 너무 자극적이고 맛있습니다 뽀또는 짠짠단짠짠단이구 황치즈 가나슈 진짜ㅜ 넘 좋아요 안에 뽀또 완전 촉촉함 
초코나무숲은 살짝 목아프게 단맛이고 익숙한 맛,, 개인적으로 녹차맛이 더 강했어요 진짜 달달하고 맛있는데 익숙한 맛이어서 다음엔 다른 맛 구매할 것 같아요

사워도우는 진짜 그냥 재료 그대로의 맛...
정말 단백한 거 좋아하고 단 거 짠 거 다 싫어하시는 분께 추천합니다 
고구마가 단 고구마는 아니었구.. 단호박도 그냥 그런..? 팥밤은 진짜 맛있었어요 통팥인데 진짜 적당히 단 팥덩어리,, 팥알이 하나하나 다 살아있음 같이 들어간 밤도 맛밤맛인데 특유의 끈적임같은 거 없고 삶은밤 식감 그대로에요!
속이 한가득이긴 한데, 도우가 진짜 뻣뻣한ㅋㅋㅋㅋ 도우라 엄청 취향은 아니었어요 재구매는 팥만 하고 다른 거 구매할 것 같아요",2024-04-07 - 00:38:51
7,7,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,ㄱ,2024.02.28.,"인스타보면 크림과 팥으로 내용물이 꽉 차있는데 현실은 빵이 꽉 차있네요
저게 3500원이라니요 ㅠ
전체적으로 비싸고 크림치즈팥빵은 맛있네요",2024-04-07 - 00:39:03
8,8,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,솔직히,2024.02.22.,여기 왜 인기 많나요.. 궁금해서 그래요,2024-04-07 - 00:39:16
9,9,Kakao,1,어글리베이커리,서울 마포구 월드컵로13길 73 (망원동),서울 마포구,3.1,275.0,블루,2024.02.17.,대체적으로 평타는 치는데 크림빵 종류는 너무 인공맛나요. 구황작물빵이랑 맘모스 맛있었어요,2024-04-07 - 00:39:29
